season,season_end_year,player_name,team,games_played,minutes_played,pts,trb,ast,stl,blk,fg_pct,fg3_pct,ft_pct,player_key,last_updated_utc
2025-26,2026,Jake LaRavia,LAL,78,25.1,8.4,3.9,1.7,1.2,0.4,0.457,0.318,0.773,jake_laravia,2026-04-07T17:04:13Z
2025-26,2026,Jakob Poeltl,TOR,42,25.4,10.8,7.3,2.0,0.8,0.7,0.698,0.0,0.633,jakob_poeltl,2026-04-07T17:04:13Z
2025-26,2026,Jalen Brunson,NYK,72,35.0,26.0,3.4,6.8,0.8,0.1,0.464,0.37,0.841,jalen_brunson,2026-04-07T17:04:13Z
2025-26,2026,Jalen Duren,DET,68,28.3,19.5,10.6,1.9,0.8,0.9,0.646,0.0,0.745,jalen_duren,2026-04-07T17:04:13Z
2025-26,2026,Jalen Green,PHX,30,26.4,18.4,3.7,3.0,1.1,0.1,0.425,0.32,0.75,jalen_green,2026-04-07T17:04:13Z
2025-26,2026,Jalen Johnson,ATL,70,35.3,22.7,10.3,8.0,1.3,0.4,0.492,0.354,0.786,jalen_johnson,2026-04-07T17:04:13Z
2025-26,2026,Jalen Pickett,DEN,47,15.8,4.9,2.3,2.2,0.3,0.1,0.424,0.386,0.867,jalen_pickett,2026-04-07T17:04:13Z
2025-26,2026,Jalen Slawson,IND,9,22.8,7.2,4.6,2.7,1.4,1.2,0.407,0.419,0.889,jalen_slawson,2026-04-07T17:04:13Z
2025-26,2026,Jalen Smith,CHI,53,20.7,10.2,6.7,1.2,0.5,0.8,0.483,0.373,0.742,jalen_smith,2026-04-07T17:04:13Z
2025-26,2026,Jalen Suggs,ORL,54,27.6,13.7,3.9,5.6,1.9,0.7,0.433,0.326,0.855,jalen_suggs,2026-04-07T17:04:13Z
2025-26,2026,Jalen Williams,OKC,32,28.2,17.0,4.6,5.5,1.2,0.3,0.482,0.303,0.832,jalen_williams,2026-04-07T17:04:13Z
2025-26,2026,Jamal Murray,DEN,74,35.4,25.4,4.4,7.2,0.9,0.4,0.483,0.434,0.886,jamal_murray,2026-04-07T17:04:13Z
2025-26,2026,Jamal Shead,TOR,78,22.6,6.7,1.8,5.4,1.0,0.2,0.366,0.319,0.784,jamal_shead,2026-04-07T17:04:13Z
2025-26,2026,James Harden,CLE,68,35.0,23.7,4.9,8.1,1.1,0.4,0.437,0.375,0.881,james_harden,2026-04-07T17:04:13Z
2025-26,2026,Jamir Watkins,WAS,46,19.9,6.8,3.7,1.3,1.1,0.5,0.46,0.298,0.677,jamir_watkins,2026-04-07T17:04:13Z
2025-26,2026,Jarace Walker,IND,73,25.6,11.5,5.1,2.4,0.8,0.3,0.421,0.376,0.753,jarace_walker,2026-04-07T17:04:13Z
2025-26,2026,Jared McCain,OKC,63,17.3,8.2,2.1,1.3,0.5,0.1,0.42,0.388,0.873,jared_mccain,2026-04-07T17:04:13Z
2025-26,2026,Jaren Jackson Jr.,UTA,48,30.3,19.4,5.7,2.0,1.1,1.4,0.476,0.357,0.803,jaren_jackson,2026-04-07T17:04:13Z
2025-26,2026,Jarred Vanderbilt,LAL,61,17.4,4.5,4.5,1.2,0.8,0.3,0.471,0.304,0.623,jarred_vanderbilt,2026-04-07T17:04:13Z
2025-26,2026,Jarrett Allen,CLE,55,27.1,15.3,8.5,1.8,1.0,0.9,0.642,0.1,0.708,jarrett_allen,2026-04-07T17:04:13Z
2025-26,2026,Javon Small,MEM,40,20.1,9.5,3.1,3.8,0.8,0.2,0.472,0.439,0.825,javon_small,2026-04-07T17:04:13Z
2025-26,2026,Javonte Green,DET,79,17.8,6.9,2.8,0.7,1.3,0.3,0.443,0.373,0.832,javonte_green,2026-04-07T17:04:13Z
